Word,Origin,Definition (rough),Semantic Cluster,N,V,Adj,Adv,Interject
babe,en,"woman, attractive and/or affectionate",8,c,,,,
cup,en,"cup, often containing alcohol or drugs (in rap context)",3,c,,,,
motherfucker,en,motherfucker,8,c,,,,c
pimpons,ve,1st person plural inflection of to pimp,2,,c,,,
pills,en,pills,3,c,,,,
snitch,en,"snitch, informs people in betrayal of others",6,c,,,,
wrist,en,wrist (often refering to watches),4,c,,,,
zaza,ve,marijuana (from exotic),3,c,,,,
drip,ve,dressing nicely (expensive clothes),4,c,,,,
dough,en,money (slang),4,c,,,,
cuenta,es,bill/check,4,c,,,,
haja,ar,trouble/problems/difficulties,9,c,,,,
milf,en,mother i'd like to fuck,7,c,,,,
start,en,start,9,c,c,,,
fighter,en,fighter,6,c,,,,
stop,en,stop,8,c,c,,,c
lyrics,en,words to song,10,c,,,,
kill,en,kill,6,c,c,,,
white,en,white,1,c,c,,,
black,en,black,1,c,c,,,
molly,en,molly/MDMA/ecstasy,3,c,,,,
love,en,love,9,c,c,,,
percocet,en,percocet,3,c,,,,
shalom,hb,hello/goodbye/piece,8,c,,,,c
