Word,Origin,Definition (rough),Semantic Cluster,N,V,Adj,Adv,Interject
cannibale,es,cannibal,1,c,,,,
canoë,es,canoe,4,c,,,,
canyon,es,canyon,5,c,,,,
caoutchouc,esq,rubber,4,c,,,,
waterproof,en,waterproof,9,,,c,,
bulletproof,en,bulletproof,"6,9",c,,c,,
caracole,es,equestrian half turn/prance,9,c,,,,
caramel,es,caramel/fudge,3,c,,,,
cocktail,en,cocktail,3,c,,,,
cocktails,en,cocktail inf,3,c,,,,
gelato,it,italian ice cream,3,c,,,,
carapace,es,shell,4,c,,,,
pelo,rm,guy,8,c,,,,
casque,es,helmet/headphones,4,c,,,,
chicha,ear,hookah pipe,3,c,,,,
tajine,ma,north african cooking pot,4,c,,,,
chocolat,es,chocolate,3,c,,c,,
cigare,es,cigar,3,c,,,,
cigarette,es,cigar inf,3,c,,,,
cigarettes,es,cigar inf,3,c,,,,
cigarillos,es,cigar inf,3,c,,,,
coca,esq,"cocaine, cola",3,c,,,,
cocaine,esq,coca inf,3,c,,,,
cocaïne,esq,coca inf,3,c,,,,
coco,es,"coco nuts, cocaine",3,c,,,,
conquistador,es,conquistador,1,c,,,,
corrida,es,bullfight,6,c,,,,
créole,es,creole,1,c,,,,
zouk,ma,antillean musical genre/dance style,10,c,,,,
zouker,ma,zouk inf,10,,c,,,
homie,ve,"friend, homeboy","1,8",c,,,,
homies,ve,homie inf,"1,8",c,,,,
homeboy,ve,"friend, gang member","1,6",c,,,,
homeboys,ve,homeboy inf,"1,6",c,,,,
dope,ve,"drugs, awesome","3,8",c,,c,,
shit,en,often cannabis,"3,8",c,,,,
bust down,ve,"easy woman to get, emphasizing quality of goods",8,c,,,,
blow,en,"explode, hit, drugs, oral sex","3,6,7",c,c,,,
broke,en,no money,4,,,c,,
débarrasser,es,to take something away/off,7,,c,,,
désinvolte,es,overly casual,9,,,c,,
dulcinée,es,beautiful woman (poetic),9,c,,,,
fanfaron,es,boaster,9,c,,,,
fiesta,es,party,9,c,,,,
gringo,es,non-spanish speaking foreigner,1,c,,,,
gringa,es,gringo inf,1,c,,,,
snob,en,"upper class wannabe, looks down","1,9",c,,,,
snobs,en,snob inf,"1,9",c,,,,
loco,es,crazy,8,,,c,,
loca,es,loco inf,8,,,c,,
starfoullah,ar,muslim prayer to ask for forgiveness,9,c,,,,
allahu akbar,ar,god is great in arabic,8,,,,,c
gambas,es,large prawns,3,c,,,,
gamelle,es,tin (ish) food bowl,4,c,,,,
gaspacho,es,gazpacho (cold soup),3,c,,,,
gaucho,es,argentine cowboy,1,c,,,,
gitan,es,gypsy,1,c,,,,
adios,es,goodbye,8,,,,,c
