Word,Origin,Definition (rough),Not too sure,,Need to find lang,Key,Language
buongiorno,it,good day,,,,,
arrivederci,it,see you later,,,,,
ballerine,it,ballerina,,,,,
ballet,it,ballet,,,,,
bambin,it,toddler,,,,,
bene,it,good,,,,,
bravo,it,bravo,,,,,
caprice,it,whim/wish,,,,,
cartel,it,cartel,,,,,
mic,en,microphone,,,,,
ciao,it,hello/goodbye,,,,,
cappuccino,it,cappuccino,,,,,
ganache,it,fool/face/jaw/cooking sauce,,,,,
ghetto,it,ghetto,,,,,
grotte,it,cave,,,,,
luciole,it,firefly,,,,,
mascara,it,mascara,,,,,
paparazzi,it,paparazzi,,,,,
parmesan,it,parmesan (cheese),,,,,
pavane,it,dance (courtly),,,,,
piano,it,soft volume/piano instrument,,,,,
pizza,it,pizza,,,,,
mozzarella,it,mozzarella,,,,,
presto,it,quickly,,,,,
risotto,it,risotto,,,,,
salto,it,flip/somersault,,,,,
mafia,it,mafia,,,,,
famiglia,it,family/household (often in mafia context),,,,,
everyday,en,everyday,,,,,
gains,en,"increase in muscle mass, bodybuilding (slang)",,,,,
sirocco,it,south east wind,,,,,
tarot,it,tarot,,,,,
trio,it,trio,,,,,
vendetta,it,vendetta,,,,,
galère,ctn,tough task/unpleasant situation,,,,,
baraque,vcn,shack,,,,,
everybody,en,everybody,,,,,
dead,en,dead,,,,,
everything,en,everything,,,,,
muerte,es,death,,,,,
dog,en,dog,,,,,
pistache,vnt,pistachio,,,,,
capoeira,pt,capoeira,,,,,
cobaye,pt,guinea pig,,,,,
cobra,pt,cobra,,,,,
fétiche,pt,fetish,,,,,
griot,pt,african storyteller/or storyteller who tells stories to gullible people,,,,,
macaque,pt,macaque (monkeys)/slang for ugly person,,,,,
mousson,pt,monsoon,,,,,
samba,pt,samba (dance),,,,,
sambo,ru,russian combat sport,,,,,
zèbre,pt,"zebra, guy/chap",,,,,
romanichel,rm,gypsy (derogatory now),,,,,
boubou,wlf,african robe,,,,,
bougnoule,wlf,wog/raghead (slur for person of north african descent),,,,,
toubab,wlf,white person,,,,,
makila,lga,blood,,,,,
nganda,lga,bar (congo rdc),,,,,
yamakasi,lga,free runner,,,,,
safari,swh,safari,,,,,
impala,zl,impala (antelope),,,,,
djandjou,bb,woman who lets herself be seduced for material gain,,,,,
koala,dha,koala,,,,,
puma,qch,puma,,,,,
dalaï-lama,tbt,dalai lama (buddhism),,,,,
mah-jong,cnc,mahjong,,,,,
yaourt,trk,yogurt,,,,,
cocktail molotov,fn,molotov cocktail,,,,,
paprika,mg,paprika (spice),,,,,
silhouette,bsq,silhouette,,,,,
